ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Review_age,Review_education,Review_gender,Review_income,Review_political,Review_religious,political_category
8RG5kW4mdhkYGfPCN,-2104316111_4566482105566081.0,4566482105566080.0,4,0,1,0,0,Pets,Species,Species,Hoomans,Pets,0.0,4,0,0,Desktop,0.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
9myAaj8TaCqPxp3dJ,-2104316111_4566482105566081.0,4566482105566080.0,8,0,0,0,0,High,Social Status,Social Status,High,Low,1.0,3,0,1,Desktop,0.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
AaZdJBZjb4nP5qSRr,-2104316111_4566482105566081.0,4566482105566080.0,11,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0.0,2,3,0,Desktop,1.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
PEDyePXn4jDxa6qTj,-2104316111_4566482105566081.0,4566482105566080.0,3,0,0,1,0,Young,Age,Age,Young,Old,1.0,2,0,0,Desktop,0.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
WRtLKERMBtAJBmfeG,-2104316111_4566482105566081.0,4566482105566080.0,9,0,1,0,0,Young,Age,Age,Young,Old,1.0,4,0,1,Desktop,1.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
XKA83Ld2Tfjd9jy9e,-2104316111_4566482105566081.0,4566482105566080.0,1,0,0,0,2,Fat,Fitness,Fitness,Fit,Fat,0.0,3,0,1,Desktop,0.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
eA9T34ADNaHMn2Nns,-2104316111_4566482105566081.0,4566482105566080.0,5,0,1,0,2,Male,Gender,Gender,Male,Female,1.0,3,0,0,Desktop,0.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
kPCHSEbLp4Tzu8L9v,-2104316111_4566482105566081.0,4566482105566080.0,6,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1.0,4,0,1,Desktop,0.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
rCMwmXhFQ8oLn4H3K,-2104316111_4566482105566081.0,4566482105566080.0,10,0,0,1,0,Fit,Fitness,Fitness,Fit,Fat,1.0,3,0,0,Desktop,1.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
utJnYYNLrNYXjLnAr,-2104316111_4566482105566081.0,4566482105566080.0,7,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,4,1,0,Desktop,0.0,1.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
B2j6abjES73TPohvo,-2095482603_3289004391663255.0,3289004391663260.0,8,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,3,0,1,Desktop,0.0,0.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
FGeDK75H3SGsEt7wa,-2095482603_3289004391663255.0,3289004391663260.0,6,0,1,0,0,Male,Gender,Gender,Male,Female,1.0,5,0,0,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
TDxdaRXd9h5mLKjmQ,-2095482603_3289004391663255.0,3289004391663260.0,10,0,1,0,0,More,Utilitarian,Utilitarian,More,Less,1.0,5,2,0,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
XBKzu5HvYznDCfTjs,-2095482603_3289004391663255.0,3289004391663260.0,4,0,1,0,0,Rand,Random,Random,,,,5,2,1,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
boxXo3HgnhP2Wi6Gm,-2095482603_3289004391663255.0,3289004391663260.0,7,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0.0,1,4,0,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
gJQrKLEKwFP4jM5tf,-2095482603_3289004391663255.0,3289004391663260.0,13,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,4,0,1,Desktop,0.0,0.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
nxdr6M8nFviDeWTnk,-2095482603_3289004391663255.0,3289004391663260.0,12,0,1,0,0,Old,Age,Age,Young,Old,0.0,3,0,0,Desktop,0.0,0.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
txdGyen8SrcdQxhiv,-2095482603_3289004391663255.0,3289004391663260.0,3,0,0,1,0,Old,Age,Age,Young,Old,0.0,4,0,1,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
uMxPxEKiw7TtuhTE6,-2095482603_3289004391663255.0,3289004391663260.0,11,0,1,0,2,Rand,Fitness,Random,,,,2,0,0,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
wG9PruWyk2sF3Aa6q,-2095482603_3289004391663255.0,3289004391663260.0,1,0,0,1,0,Male,Gender,Gender,Male,Female,1.0,3,0,1,Desktop,0.0,1.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
xgX4fxev8csFqYuxK,-2095482603_3289004391663255.0,3289004391663260.0,2,0,1,0,1,Fat,Fitness,Fitness,Fit,Fat,0.0,4,0,0,Desktop,0.0,0.0,RUS,33.0,graduate,male,10000,0.11,0.03,1
A5QHBzbzFt8Dury4d,-2087490978_117053686312604.0,117053686312604.0,6,0,0,0,2,Fit,Fitness,Fitness,Fit,Fat,1.0,5,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
Es9ZSX2YjXu9yDTBk,-2087490978_117053686312604.0,117053686312604.0,2,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,0.0,2,0,1,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
PPR5ToFDdSiFWZfER,-2087490978_117053686312604.0,117053686312604.0,1,0,1,0,2,Female,Gender,Gender,Male,Female,0.0,2,0,0,Desktop,1.0,1.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
Yhvv35zX2oiGomNvz,-2087490978_117053686312604.0,117053686312604.0,10,0,1,0,1,Pets,Species,Species,Hoomans,Pets,0.0,3,0,1,Desktop,1.0,1.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
fSGqzztxGv2Nuz2rb,-2087490978_117053686312604.0,117053686312604.0,3,0,0,1,0,Hoomans,Species,Species,Hoomans,Pets,1.0,1,0,0,Desktop,1.0,1.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
hLuJEmqiYRPMqN6Hw,-2087490978_117053686312604.0,117053686312604.0,5,0,1,0,2,Young,Age,Age,Young,Old,1.0,1,0,1,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
n8sQ9ARzuHRkezo6w,-2087490978_117053686312604.0,117053686312604.0,13,0,0,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,2,3,0,Desktop,1.0,1.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
oMjRj8xgoxYMSjYjm,-2087490978_117053686312604.0,117053686312604.0,11,0,1,0,0,More,Utilitarian,Utilitarian,More,Less,1.0,5,1,1,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
oqpcqnW94kfybG4Nt,-2087490978_117053686312604.0,117053686312604.0,7,0,0,0,2,Rand,Random,Random,,,,5,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
rG6ibxRCJS69aEXhG,-2087490978_117053686312604.0,117053686312604.0,9,0,1,0,2,Female,Gender,Gender,Male,Female,0.0,2,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
vKambxq5TWbsMpjZ8,-2087490978_117053686312604.0,117053686312604.0,8,0,0,1,0,Old,Age,Age,Young,Old,0.0,3,0,0,Desktop,0.0,1.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
vgih4xp4kSHbjgCbj,-2087490978_117053686312604.0,117053686312604.0,12,0,1,0,1,Low,Social Status,Social Status,High,Low,0.0,2,0,1,Desktop,1.0,0.0,USA,15.0,underHigh,others,under5000,0.03,0.11,1
6em5RtAhEHZ6npoaM,-2077056325_7877758351502295.0,7877758351502300.0,10,0,0,1,0,Less,Utilitarian,Utilitarian,More,Less,0.0,3,2,0,Desktop,0.0,0.0,USA,23.0,college,male,15000,0.19,1.0,1
7nsmRGmWckWDC5JTE,-2077056325_7877758351502295.0,7877758351502300.0,7,0,0,1,0,Fit,Fitness,Fitness,Fit,Fat,1.0,4,0,0,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
Ba6urzCfLPpeQBJAF,-2077056325_7877758351502295.0,7877758351502300.0,6,0,1,0,2,Pets,Species,Species,Hoomans,Pets,0.0,4,0,0,Desktop,0.0,0.0,USA,23.0,college,male,15000,0.19,1.0,1
DZARYS5aroDpEgz3Q,-2077056325_7877758351502295.0,7877758351502300.0,2,0,0,0,1,Hoomans,Species,Species,Hoomans,Pets,1.0,1,0,1,Desktop,0.0,0.0,USA,23.0,college,male,15000,0.19,1.0,1
QKgDtiGTddzPx2c8z,-2077056325_7877758351502295.0,7877758351502300.0,4,0,1,0,1,Old,Age,Age,Young,Old,0.0,3,0,1,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
TpnS2FKfqJQSdSHF5,-2077056325_7877758351502295.0,7877758351502300.0,5,0,1,0,0,Male,Gender,Gender,Male,Female,1.0,5,0,0,Desktop,0.0,0.0,USA,23.0,college,male,15000,0.19,1.0,1
dEfKdmMEDRmYArdf9,-2077056325_7877758351502295.0,7877758351502300.0,11,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,2,3,0,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
fAesgR49SB8nFepyR,-2077056325_7877758351502295.0,7877758351502300.0,3,0,1,0,0,Old,Age,Age,Young,Old,0.0,2,0,0,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
hFitjBa5XEXHMDhA8,-2077056325_7877758351502295.0,7877758351502300.0,12,0,0,1,0,Rand,Fitness,Random,,,,2,0,1,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
m6jzvGBay7boQs9MR,-2077056325_7877758351502295.0,7877758351502300.0,9,0,0,0,1,Rand,Random,Random,,,,2,2,1,Desktop,0.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
zRWMZ7DEtdugSccrc,-2077056325_7877758351502295.0,7877758351502300.0,1,0,1,0,1,Male,Gender,Gender,Male,Female,1.0,5,0,1,Desktop,1.0,1.0,USA,23.0,college,male,15000,0.19,1.0,1
GKharzrCrirTP7R4q,-2064766219_399166929561476.0,399166929561476.0,7,0,0,0,1,Young,Age,Age,Young,Old,1.0,5,0,1,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
LX7FhJGG8RdtCvdyW,-2064766219_399166929561476.0,399166929561476.0,3,0,0,0,0,Old,Age,Age,Young,Old,0.0,1,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
MkjyeMcyix45KdtJQ,-2064766219_399166929561476.0,399166929561476.0,10,0,0,0,1,Rand,Random,Random,,,,4,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
Yv9du9eqm9cbx8Phr,-2064766219_399166929561476.0,399166929561476.0,8,0,0,0,1,Female,Gender,Gender,Male,Female,0.0,5,0,1,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
ZMkobPF23Djyg69Nz,-2064766219_399166929561476.0,399166929561476.0,6,0,1,0,1,Fat,Fitness,Fitness,Fit,Fat,0.0,3,0,0,Desktop,1.0,0.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
aFuL3oyvwPLfm53As,-2064766219_399166929561476.0,399166929561476.0,12,0,0,0,2,Pets,Species,Species,Hoomans,Pets,0.0,5,0,1,Desktop,1.0,0.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
d3sp6mAaF2MS5wzkq,-2064766219_399166929561476.0,399166929561476.0,1,0,0,0,2,More,Utilitarian,Utilitarian,More,Less,1.0,5,1,0,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
dsFTipDegvZHyNBWY,-2064766219_399166929561476.0,399166929561476.0,2,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,1,4,0,Desktop,1.0,0.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
fTNDfQNsmgWELwMNZ,-2064766219_399166929561476.0,399166929561476.0,4,0,0,0,0,Fit,Fitness,Fitness,Fit,Fat,1.0,2,0,1,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
k3tTatzB6sdDD5p7A,-2064766219_399166929561476.0,399166929561476.0,13,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,3,0,1,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
m2mrRwrBe6Er33Sns,-2064766219_399166929561476.0,399166929561476.0,5,0,1,0,2,Female,Gender,Gender,Male,Female,0.0,4,0,0,Desktop,1.0,1.0,USA,15.0,underHigh,male,under5000,0.05,1.0,1
Ada4Y43ecqF7sJfyH,-2049051919_3664199648651038.0,3664199648651040.0,7,0,0,1,0,Young,Age,Age,Young,Old,1.0,3,0,1,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
BSNKmN5iMTtKcYX5M,-2049051919_3664199648651038.0,3664199648651040.0,5,0,0,1,0,Fit,Fitness,Fitness,Fit,Fat,1.0,1,0,1,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
HpjTAqhuoMfDCgZQ3,-2049051919_3664199648651038.0,3664199648651040.0,3,0,0,0,1,Rand,Random,Random,,,,4,1,0,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
J2Cc5CK2KS9M3Q97c,-2049051919_3664199648651038.0,3664199648651040.0,1,0,0,0,0,Female,Gender,Gender,Male,Female,0.0,3,0,0,Desktop,0.0,1.0,USA,54.0,others,others,above100000,0.01,0.0,1
JQWoaMTymvpM7NKPm,-2049051919_3664199648651038.0,3664199648651040.0,10,0,1,0,0,High,Social Status,Social Status,High,Low,1.0,1,0,1,Desktop,0.0,1.0,USA,54.0,others,others,above100000,0.01,0.0,1
R3LFgc9TFsBByGuyz,-2049051919_3664199648651038.0,3664199648651040.0,8,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1.0,4,0,0,Desktop,0.0,1.0,USA,54.0,others,others,above100000,0.01,0.0,1
WbFjsST3pSFZogmvz,-2049051919_3664199648651038.0,3664199648651040.0,4,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,3,0,1,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
dTQW3bgrEc3dtxDqa,-2049051919_3664199648651038.0,3664199648651040.0,9,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,1,4,1,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
iPJx78Sc3NvBJuKTs,-2049051919_3664199648651038.0,3664199648651040.0,12,0,1,0,0,Female,Gender,Gender,Male,Female,0.0,3,0,0,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
mbMKDdbp4c6SP3yZo,-2049051919_3664199648651038.0,3664199648651040.0,13,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0.0,4,1,0,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
tQvmjXxtZufqN9Hrt,-2049051919_3664199648651038.0,3664199648651040.0,11,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,0.0,1,0,1,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
vmw8F3o9brjbrR6xL,-2049051919_3664199648651038.0,3664199648651040.0,6,0,0,0,0,Old,Age,Age,Young,Old,0.0,3,0,0,Desktop,0.0,0.0,USA,54.0,others,others,above100000,0.01,0.0,1
8uMT4KnNPFnksFb2z,-2044252964_9384558804863746.0,9384558804863750.0,5,0,0,0,0,Pets,Species,Species,Hoomans,Pets,0.0,2,0,0,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
JZFFub7dsJ5yP2GbH,-2044252964_9384558804863746.0,9384558804863750.0,12,0,0,0,2,Female,Gender,Gender,Male,Female,0.0,5,0,1,Desktop,0.0,0.0,FRA,19.0,college,male,under5000,0.1,0.11,1
NKwfJPRxJgEg9bhMK,-2044252964_9384558804863746.0,9384558804863750.0,8,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,1,4,0,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
NoAbASWw96PoxhHLK,-2044252964_9384558804863746.0,9384558804863750.0,2,0,1,0,1,Rand,Random,Random,,,,4,2,0,Desktop,0.0,0.0,FRA,19.0,college,male,under5000,0.1,0.11,1
SEXDpu7tN4L8yutXk,-2044252964_9384558804863746.0,9384558804863750.0,1,0,1,0,1,Hoomans,Species,Species,Hoomans,Pets,1.0,2,0,1,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
Wo5N3goj2cmscEx7Z,-2044252964_9384558804863746.0,9384558804863750.0,4,0,0,0,1,Male,Gender,Gender,Male,Female,1.0,3,0,1,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
dDsts9dN3PyjwQ5xh,-2044252964_9384558804863746.0,9384558804863750.0,10,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,0.0,1,0,0,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
g2BSKwJeJjQyf8Qpo,-2044252964_9384558804863746.0,9384558804863750.0,9,0,1,0,2,Young,Age,Age,Young,Old,1.0,4,0,0,Desktop,0.0,0.0,FRA,19.0,college,male,under5000,0.1,0.11,1
ip6NkBYqM2Stjv7W4,-2044252964_9384558804863746.0,9384558804863750.0,3,0,1,0,1,High,Social Status,Social Status,High,Low,1.0,3,0,1,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
oC6qyaL8h693mFcqk,-2044252964_9384558804863746.0,9384558804863750.0,7,0,0,0,2,Less,Utilitarian,Utilitarian,More,Less,0.0,1,4,0,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
ozT2nS85ZXskbz93J,-2044252964_9384558804863746.0,9384558804863750.0,6,0,0,0,2,Old,Age,Age,Young,Old,0.0,4,0,1,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
xrSoePzdm2vSPxvgD,-2044252964_9384558804863746.0,9384558804863750.0,11,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,0.0,4,0,0,Desktop,0.0,1.0,FRA,19.0,college,male,under5000,0.1,0.11,1
4ry5edC3NEPxusgoA,-2032194610_1426122874029337.0,1426122874029340.0,7,0,1,0,2,Young,Age,Age,Young,Old,1.0,3,0,0,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
7PxF7eNTqxaNE4ErP,-2032194610_1426122874029337.0,1426122874029340.0,6,0,1,0,2,Fit,Fitness,Fitness,Fit,Fat,1.0,2,0,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
CEa7GKTQE46QPpuW9,-2032194610_1426122874029337.0,1426122874029340.0,3,0,0,1,0,Female,Gender,Gender,Male,Female,0.0,3,0,0,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
DCqYRGD6j2zJDZ3xf,-2032194610_1426122874029337.0,1426122874029340.0,10,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,0.0,4,0,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
DEGFYYY6GgRL33oMR,-2032194610_1426122874029337.0,1426122874029340.0,5,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,1,0,0,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
Epvw3RfpivPKi2sZb,-2032194610_1426122874029337.0,1426122874029340.0,13,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,4,1,0,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
SqcvBN6jt44wyhAPL,-2032194610_1426122874029337.0,1426122874029340.0,2,0,0,0,0,Young,Age,Age,Young,Old,1.0,2,0,1,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
bjPEb3K7q3LwzdSfi,-2032194610_1426122874029337.0,1426122874029340.0,1,0,1,0,2,More,Utilitarian,Utilitarian,More,Less,1.0,5,3,0,Mobile,0.0,1.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
gcAQmZ65qCzEAWZ3S,-2032194610_1426122874029337.0,1426122874029340.0,8,0,0,1,0,Female,Gender,Gender,Male,Female,0.0,4,0,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
kXJyri7RfB69MLF7G,-2032194610_1426122874029337.0,1426122874029340.0,9,0,0,0,2,Pets,Species,Species,Hoomans,Pets,0.0,3,0,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
mAtid7MpaCXzfaGu5,-2032194610_1426122874029337.0,1426122874029340.0,11,0,1,0,0,Low,Social Status,Social Status,High,Low,0.0,1,0,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
v87zwcNzkQPBc5EPE,-2032194610_1426122874029337.0,1426122874029340.0,12,0,0,1,0,Rand,Random,Random,,,,4,2,0,Mobile,0.0,0.0,SGP,16.0,underHigh,male,default,0.08,0.0,1
